mysql;neo4j_api;dex_api;orientdb_api
1467;641;30;1417
1470;374;16;1823
1438;114;11;258
1456;177;14;385
1639;4183;510;6871
1472;141;14;638
1449;181;13;670
1473;266;27;591
1452;120;8;358
1605;3050;309;1938
1648;5277;937;2974
1541;648;65;939
1441;76;8;359
1496;269;19;442
1493;328;25;319
1477;246;20;572
1527;584;51;537
1451;151;16;184
1477;157;12;255
1434;104;8;82
1490;161;10;155
1552;1043;144;646
1506;249;27;198
1509;480;51;506
1454;116;7;97
1635;257;32;253
1548;147;9;155
1576;1155;132;682
1549;543;46;177
1585;1587;159;624
1522;59;7;369
1643;434;30;358
1652;226;18;312
1567;298;24;137
1567;111;16;1941
1582;266;17;1526
1515;428;29;316
1489;52;8;1932
1466;54;7;199
1650;122;21;1953
1603;95;10;107
1576;171;11;6088
1638;923;75;2416
1559;156;20;751
1543;132;12;808
1575;167;9;1204
1604;674;55;1605
1643;213;13;779
1518;128;13;383
1463;139;10;815
1674;4823;760;2201
1656;2477;300;746
1550;507;56;422
1487;174;13;325
1499;191;16;370
1537;524;40;434
1517;332;23;163
1511;222;13;413
1529;212;14;146
1519;99;8;215
1531;169;18;130
1456;123;8;210
1486;123;10;191
1440;42;6;209
1555;1023;156;475
1456;62;8;537
1479;135;10;171
1465;207;17;401
1622;200;15;102
1557;304;19;122
1479;225;20;216
1587;1855;195;468
1464;66;9;166
1492;263;19;181
1496;95;16;141
1803;32972;6878;5174
1525;298;28;4002
1479;111;8;936
1460;127;6;548
1489;109;12;733
1697;2758;349;1405
1878;206;19;650
2573;777;72;2510
1537;90;10;1567
1603;1249;113;2103
1566;478;45;858
1489;317;27;491
1577;592;57;682
1507;285;18;321
1464;57;6;205
1483;136;8;254
1455;95;10;626
1567;1719;170;900
1483;307;26;419
1458;138;16;392
1550;786;157;407
1442;43;8;190
1678;8988;1439;1685
1526;330;39;212
1482;103;9;92
